# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
5,     0x2237,  ,       &Colon;,                           "proportion, like two colons"
5,     0x2a74,  ,       &Colone;,                          "double colon equal"
5,     0x2261,  ,       &Congruent;,                       "identical to",                                                              "equivalent to"
5,     0x222f,  ,       &Conint;,                          "surface integral"
5,     0x222e,  ,       &ContourIntegral;,                 "contour integral"
5,     0x2102,  ,       &Copf;,                            "double struck capital C"
5,     0x2210,  ,       &Coproduct;,                       "Upside down capital PI"
5,     0x2233,  ,       &CounterClockwiseContourIntegral;, "anticlockwise contour integral"
5,     0x2a2f,  ,       &Cross;,                           "vector or cross product"
5,     0x1d49e, ,       &Cscr;,                            "Script capital letter C"
5,     0x22d3,  ,       &Cup;,                             "double union"
5,     0x224d,  ,       &CupCap;,                          "equivalent to"
5,     0x2145,  ,       &DD;,                              "double-struck italic capital d"
5,     0x2911,  ,       &DDotrahd;,                        "rightwards arrow with dotted stem"
5C,    0x402,   ,       &DJcy;,                            "Cyrillic capital letter DJ"
5C,    0x405,   ,       &DScy;,                            "Cyrillic capital letter DS"
5C,    0x40f,   ,       &DZcy;,                            "Cyrillic capital letter DZ"
4Xs,   0x2021,  ,       &Dagger;,                          "double dagger"
5,     0x21a1,  ,       &Darr;,                            "downwards two headed arrow"
5,     0x2ae4,  ,       &Dashv;,                           "vertical bar double left turnstile"
5,     0x10e,   ,       &Dcaron;,                          "Latin capital letter D with caron"
5C,    0x414,   ,       &Dcy;,                             "Cyrillic capital letter DE"
5,     0x2207,  ,       &Del;,                             "nabla, del, down pointing triangle",                                        "Del, backward difference. Normally use html4 <span class=""entity"">&amp;nabla;</span>"
4XG,   0x394,   ,       &Delta;,                           "Greek capital letter Delta"
5,     0x1d507, ,       &Dfr;,                             "Fraktur D"
5d,    0xb4,    ,       &DiacriticalAcute;,                "spacing acute, not dead key",                                               "spacing acute, not dead key"
5,     0x2d9,   ,       &DiacriticalDot;,                  "dot above"
5d,    0x2dd,   ,       &DiacriticalDoubleAcute;,          "double acute accent"
5d,    0x60,    ,       &DiacriticalGrave;,                "grave by itself",                                                           "normally just code as `"
5,     0x2dc,   ,       &DiacriticalTilde;,                "small tilde",                                                               "normally use html4 <span class=""entity"">&amp;tilde;</span>"
5,     0x22c4,  ,       &Diamond;,                         "diamond operator",                                                          "see <span class=""entity"">&amp;diams;</span>"
5,     0x2146,  ,       &DifferentialD;,                   "double-struck italic small d"
